Sample#,spectral_centroid,spectral_bandwidth,spectral_rolloff,onset_strength,mfcc,zero_crossing_rate,percussion,label
20,2749.9833691657077,2918.5901210524517,6576.08642578125,1.0633082,-9.703952,0.10847229516806722,0.00036268352,running water/noise
21,2121.219979705635,2519.8132848382793,4707.229527614846,0.99900967,-15.425558,0.08508724369085173,0.00032285546,leak
22,6331.677198657369,2799.1010747538025,9216.85553985892,1.1032487,-15.25535,0.6015830425768608,0.0021649245,leak
23,3711.1066033092243,3222.6369710658396,7898.4849409623575,1.0371827,-15.107234,0.15255182439630682,0.0012694671,leak
24,2076.195587377107,2427.1283148328366,4715.416201970498,1.113727,-14.187748,0.09116287997668579,0.0013823505,leak
25,1542.3896301512614,2291.617494581649,3650.982196514423,0.98580384,-5.4625936,0.036548862795857985,0.0004990555,running water/noise
26,4574.845989452145,3092.833307625989,8180.367449860075,1.0858548,-14.6722975,0.3535238237523321,0.0007463784,leak
27,2916.5533052253104,2984.5179358886526,6841.062669216467,0.9834097,-5.570033,0.115239471881524,0.00060610264,running water/noise
28,2397.954038332402,2558.7698909214964,5218.517031912076,1.2128896,-13.376726,0.10712497517213983,0.0006898392,leak
29,3036.4905187589648,2978.8086888441417,6948.436029273344,1.0109311,-18.218287,0.14700207078313254,0.0002920355,leak
30,2488.849910981924,2809.882537419098,6288.020341981132,1.0249943,-6.6654844,0.10369988207547169,0.00072847994,running water/noise
31,1767.434404858498,2207.235533302581,3736.347198486328,1.0715791,-15.034735,0.07877525916466346,0.00029989245,running water/noise
32,2665.447835780874,2657.715032546398,5920.441909509203,1.0489105,-14.0762825,0.11794937851482618,0.0008028136,leak
33,1623.9034503301984,2152.039433720398,3414.472942892839,1.0460558,-15.779003,0.05777237000253036,0.00037622402,leak
34,3423.9515297187195,3148.6115959970116,7483.472029889216,1.281317,-8.003061,0.12085861456198771,0.0013549231,leak
35,2887.531327261913,2754.86975006004,6251.891721528152,1.2550757,-6.5309296,0.14030298693426724,0.0009879904,running water/noise
36,6521.9869690914875,2493.570957073955,9114.18039356861,1.0667278,-9.049274,0.6225784830066191,0.0069992957,running water/noise
37,6317.912629392569,2372.413126386897,8884.159567368091,0.9853945,-10.516979,0.6032481744660804,0.0031008234,running water/noise
38,3675.5009194430086,3215.2886094070504,7858.982063609467,1.0469477,-7.510252,0.19706434140779092,0.0012387369,running water/noise
39,2857.220241234013,2589.22473987613,5984.10049066311,1.138853,-14.475852,0.1619069169207317,0.003715781,running water/noise
40,1340.890105105891,2011.5811961512927,2818.2377115885415,1.0560637,-7.581666,0.040008318865740744,0.00046707736,leak
41,2805.391902421896,2987.810069846236,6799.275166279561,0.9437976,-16.716473,0.1120284975265444,0.00010284392,running water/noise
42,2188.3796199838002,2541.8080765446543,5178.615054338338,1.0570719,-12.938111,0.05775562478177374,0.00023486243,leak
43,3051.345341644944,3052.0305468066845,7089.80712890625,0.9766193,-17.966211,0.13409124410377357,0.00024002153,leak
44,3770.6692422148617,3064.3198758970207,7619.657930693401,1.0383366,-6.1635275,0.2135056917247854,0.0008083001,running water/noise
45,3027.891067613664,2671.0965170995732,6274.499477715877,1.0190433,-15.148295,0.18755916499825906,0.00042548683,running water/noise
46,3645.0537686986536,3376.0692136525718,8075.050678358942,0.9394256,-17.13158,0.182408697724122,0.00011019355,leak
47,4851.749268268997,3023.959219402477,8478.772982893319,1.1415073,-6.909725,0.3864325161637931,0.0023954022,running water/noise
48,2837.6275694008855,2868.121973029588,6333.208673650568,1.3652933,-8.715404,0.09475649940539112,0.005232776,leak
49,1921.9669193069792,2577.0626042980443,4842.11392080857,0.94854456,-16.66374,0.05599282855636503,6.037439e-05,running water/noise
50,3683.1543541132705,3151.86115665941,7791.139068603516,1.1111693,-12.3573,0.18731791178385418,0.000797183,leak
51,1979.6466078162046,2264.8230818405214,4072.87353515625,1.1295761,-15.997122,0.0869499362244898,0.00042812526,leak
52,1816.933142036299,2387.015847607465,3945.969805287308,1.0147206,-14.134308,0.063629326115643,0.00021088151,leak
53,2153.7848652051944,2632.981715479211,5089.931126644737,1.1636155,-9.083612,0.06225861284069549,0.0019796372,leak
54,5846.924570873736,2879.115966086051,9024.150815217392,1.1486304,-11.445159,0.5386732903079711,0.00477815,running water/noise
55,3708.4695128670455,2980.9839669134644,7646.407803622159,1.2241774,-14.093961,0.22448656486742424,0.0015078755,running water/noise
56,6030.7021675657425,2546.4743690290447,8776.681609458112,1.0886467,-11.660037,0.5792137632978723,0.0031041983,leak
57,3056.886846864264,2865.121337576616,6607.1682537872775,1.2191948,-8.450075,0.1558026154029188,0.0020084,running water/noise
58,4593.599983061626,3022.7448444356874,8453.27264454739,1.2799561,-9.450775,0.33783110311208675,0.003788815,running water/noise
